Title,URL,IMDb Rating,Runtime (mins),Release Date,Image URL
Kantara,https://www.imdb.com/title/tt15327088/,8.4,148,30-09-22,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQF8Vs-iUxtt_HdleBlTAakLb-MHGLVYlCQ8_VhFFoNvtEglITi
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,8.4,130,18-05-22,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRLeDZOOOe39EylZoDSJteMkbX8lqS4JT-SvEZ8W2M6s1DRBZMd
Vikram,https://www.imdb.com/title/tt9179430/,8.4,175,03-06-22,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRcywLT8os8ZXJb7n3hmSzrSzpnLIDNgHeIufdEvCprHyuxThul
K.G.F: Chapter 2,https://www.imdb.com/title/tt10698680/,8.3,168,13-04-22,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR-GJWOluiuP4BTtHHg6Kk68cuueul3mwQOMwueqol3kBMrT8c7
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/,8.1,139,11-03-22,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQnDm2i_Hj23pOvoApmbTD4HLZSBYYGfJsJ0DcKsXHPXz_yF1Ao
Thiruchitrambalam,https://www.imdb.com/title/tt11772746/,7.9,131,12-08-22,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRHPXj-hKWCftubJHNJSYSS-GNKITah2XtMv5X1XpkSMXw4XDbq
RRR (Rise Roar Revolt),https://www.imdb.com/title/tt8178634/,7.9,187,24-03-22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRG6L2WmlrU5r2HzTKoXTJC5DFyU9vMbUJ79Cp5P7RB5QEEnXkH
Freddy,https://www.imdb.com/title/tt15145764/,7.8,124,02-12-22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxpFB9bqM4R9AsTAVu2_QJJeqbKgBhpvu17xQkAdBdN2f88pky
The Menu,https://www.imdb.com/title/tt9764362/,7.4,107,10-09-22,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRNgaus1EZmk-JVGwmrfpENUbPsG8M2NJIdVIpuWyLG5BrwAbtG
Bullet Train,https://www.imdb.com/title/tt12593682/,7.3,127,18-07-22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlfTsJIEpggkIgOwR-CZNsHfGU8l6irrrVVAYJpzDFQlj5zioC
Prey,https://www.imdb.com/title/tt11866324/,7.2,100,21-07-22,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQbMAMNjK9WAITC7ZzOMZYBawBGftvcT1ya8krvYSl-YEGb5m6r
DC League of Super-Pets,https://www.imdb.com/title/tt8912936/,7.2,105,27-07-22,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQKgwibWG405LUgKFm18cH8QGv6B_K7OlUlNraygouKg5pMPQe7
VR (Vikrant Rona),https://www.imdb.com/title/tt12015102/,7.1,148,27-07-22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQw2VxIEE0vybIq_UaVr9SFv-906yzKYuuln0SF07dCB3frs2Qj
Barbarian,https://www.imdb.com/title/tt15791034/,7.1,102,29-08-22,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRlyoXxNanizwUxU3yq66PLiOzQn6ENq5Prt6nZICtERK9dwRE4
The Sea Beast,https://www.imdb.com/title/tt9288046/,7.1,115,15-06-22,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRdk6Lm0cFzpfOj9bCIsG3ag2GqakJGjc_Q_Qv33OosztDNv3kp
Where the Crawdads Sing,https://www.imdb.com/title/tt9411972/,7.1,125,26-06-22,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSerr0Lo7tpDMBWx6INe8Zq8mW88IsDJtJL_2uLQ3OTa7EALmyv
Nope,https://www.imdb.com/title/tt10954984/,6.9,130,18-07-22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIgJp_ZoMufqDS17oo_fxOplO6W34XXM_LTpjQGyxAXEdxXwpH
Doctor Strange in the Multiverse of Madness,https://www.imdb.com/title/tt9419884/,6.9,126,02-05-22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ5IuxfEt-WmUIrpJldszdRJFfTubSEeQVMVNuv63Z0PNfvbWV
Doctor G,https://www.imdb.com/title/tt9054970/,6.8,124,14-10-22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDzEqB7t60IYWHPRxafr7byUC-wE33AJ-g_Qu-vHpBPQolA9Kq
X,https://www.imdb.com/title/tt13560574/,6.6,105,13-03-22,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTnvRObttS2NSaaEgFs9N5ZYwgLYNgoWkgHPsi2GvkJHvAL5-N_
Smile,https://www.imdb.com/title/tt15474916/,6.6,115,22-09-22,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSPkv49y0UYywLik-CVtV5TnAl5KXKwf9W0nqOrw7HCl-pqow5k
Fall,https://www.imdb.com/title/tt15325794/,6.4,107,10-08-22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXdy5jkGY7WXNx4erreFU-slR5mIiG4SGYPBzgyzKla0fYGkQh
Thor: Love and Thunder,https://www.imdb.com/title/tt10648342/,6.3,118,23-06-22,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRHXV5at6mvLIF852fvIA5jeUi6bVYs8swuCPUCRWdRxWp0sr5Q
Scream,https://www.imdb.com/title/tt11245972/,6.3,114,12-01-22,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRvN8j54ran-QIT8TsDlI2YF-mAB_MZd6hkclWWuQRsRPLfER6Q
Jurassic World: Dominion,https://www.imdb.com/title/tt8041270/,5.6,147,23-05-22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVZ5pdPcQ6LCKMk_JWiK0UfHViF5afN7VLWYfB8A1BkOXNrvC6
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
